"","text","favoriteCount","replyToSN","created","replyToSID","id","replyToUID"
"1","Ulykka har skjedd ca. 600 meter nord for Tyldabrui. naudetatane er på staden. 2 personar i bilen. Dei er oppegåande og framstår som uskadde.",1,"politivest",2017-12-20 17:28:17,"943529855081156609","943533527848701952","916215618612973568"
"2","Vegbana er no rydda og det er fri ferdsel forbi staden.",1,"politivest",2017-12-20 17:14:24,"943526615451164673","943530032898740224","916215618612973568"
"3","Rv. 5 Sogndalsdalen. Det er meldt om ei trafikkulykke. Ein bil involvert.  Vegen skal vere delvis stengd av denne b… https://t.co/zj5xDTZtYG",1,NA,2017-12-20 17:13:42,NA,"943529855081156609",NA
"4","Det var to involverte bilar. Ein person i kvar bil. Begge bilførarande vart frakta til legevakt for sjekk.",1,"politivest",2017-12-20 17:00:49,"943510244747071488","943526615451164673","916215618612973568"
"5","Partane skriv skademelding. Det vert ikkje politisak.",1,"politivest",2017-12-20 16:57:04,"943520328109748227","943525672554770432","916215618612973568"
"6","Hetleviksåsen, Bergen.  2 elbilar har kollidert ved Kiwi. Det er ikkje personskade. Politiet og brannvesenet er på veg til staden.",2,NA,2017-12-20 16:35:50,NA,"943520328109748227",NA
"7","Naudetatane er no framme på staden. Det er ein del køar. Omfang i høve til personskadar er enno uvisst.",1,"politivest",2017-12-20 15:55:46,"943506559379877888","943510244747071488","916215618612973568"
"8","Ein av partane køyrd vekk frå staden, og har fått muntleg pålegg frå politiet. Politiet opprettar sak.",0,"politivest",2017-12-20 15:50:19,"943506431411671040","943508874295902214","916215618612973568"
"9","Vegen er inntil vidare stengd.",0,"politivest",2017-12-20 15:41:07,"943506044961087488","943506559379877888","916215618612973568"
"10","Politiet er på staden, og har kontroll over situasjonen no.",0,"politivest",2017-12-20 15:40:37,"943499527700537345","943506431411671040","916215618612973568"
"11","Rv 55 ved Kvamshaug i Luster. Meldt om trafikkulykke. To bilar har kollidert. Naudetatane er på veg til staden.",1,NA,2017-12-20 15:39:05,NA,"943506044961087488",NA
"12","Flaktveit, Bergen. Politiet er på veg til Ulvedal Torg der det er meldt om slagsmål mellom to menn.",2,NA,2017-12-20 15:13:11,NA,"943499527700537345",NA
"13","E39 mellom bomstasjonen Sandviken og Fløyfjelltunnelen - meldt om en kloss som ligger i veien.  3 biler har punkter… https://t.co/rR05oWZCXY",1,NA,2017-12-20 05:38:22,NA,"943354870098202626",NA
"14","Christian Michelsens gate kl 0254 - Ordensforstyrrelse. Mann 22 år, gitt pålegg om å forlate stedet. Vedkommende laget bråk utenfor utested.",0,NA,2017-12-20 04:02:37,NA,"943330772970287104",NA
"15","Unnelandsvegen, Haukeland kl 0020 . kvinne 32 år, stanset. Anmeldes for kjøring i påvirket tilstand samt kjøring uten gyldig førerkort.",0,NA,2017-12-20 03:43:24,NA,"943325937092976645",NA
"16","Christian Michelsens gate, kl 0255. Ordensforstyrrelse/Tvang trusler med kniv. 2 menn, 24 og 27 år satt i arrest. P… https://t.co/y3FSadcB4E",0,NA,2017-12-20 03:37:22,NA,"943324421246390272",NA
"17","Torgallmenningen kl 0347 - Patrulje blir kontaktet av vitner. Mann 26 år, har slått til en annen person, samt slått… https://t.co/XBvdIQev64",0,NA,2017-12-20 03:33:56,NA,"943323555227426816",NA
"18","21:47. Dokkeveien i Bergen. Mann 23 år var utagerande. Det går mot drukkenskapsarresten.",1,NA,2017-12-19 21:55:26,NA,"943238371635269633",NA
"19","20:24. Storetveitvegen/Fantoftvegen i Bergen. To bilar har kollidert. Ingen personskade.",1,NA,2017-12-19 19:42:42,NA,"943204966122082304",NA
"20","17:47 Kringsjåveien i Bergen. Bilist blenda av laserlykt.",1,NA,2017-12-19 17:12:48,NA,"943167243487207424",NA
"21","17:47. Øvre Fyllingsveien i Bergen. Mann 38 år mistenkt for ruskøyring.",1,NA,2017-12-19 17:04:59,NA,"943165274492108801",NA
"22","17:26. Taxfree butikken i Bergen lufthavn. Mann 51 år urinerte inne i butikken. Mannen anmeldt for forholdet.",10,NA,2017-12-19 17:01:59,NA,"943164519471370241",NA
"23","17:03. Prestegardskogen i Os. Eksplonsjonsulykke i gasskomfyr på privat kjøkken. Ein  mann er brannskadd.",1,NA,2017-12-19 16:58:56,NA,"943163753390067712",NA
"24","17:04. Balestrand. Påkjørt hjort. Hjorten løp til skogs. Ettersøk pågår.",1,NA,2017-12-19 16:54:41,NA,"943162683951546369",NA
"25","14:58 Østre Muralm. i Bergen. Arbeidsulykke, fall på ca fem meter. Pasient til sjukehus.",1,NA,2017-12-19 16:50:56,NA,"943161739897659394",NA
"26","Puddefjordsbroen: kostet og fri ferdsel.",2,NA,2017-12-19 13:49:10,NA,"943115995593498624",NA
"27","Mye kø og treg trafikkavvikling på Puddefjordsbroen retn vest. Kosting pågår.",2,NA,2017-12-19 13:37:52,NA,"943113151851229185",NA
"28","Puddefjordsbroen retn vest: bil m/henger lastet med glass står, glasset knust og glass i veibanen. Politi på vei, VTS varslet.",1,NA,2017-12-19 13:29:57,NA,"943111162232754177",NA
"29","Minde Allè: meldt om arbeidsulykke, politi og ambulanse på veg. Skjedd ifm lossing av lastebil. Mulig klemskade.",0,NA,2017-12-19 11:08:08,NA,"943075470383476736",NA
"30","Masfjordvegen FV379: meldt om steinras, mulig å passere, vegstellet varsla.",0,NA,2017-12-19 09:21:52,NA,"943048727035547648",NA
"31","Skogsvåg: førerkortbeslag, skadde jente 16 år kjørt legevakt, skader i fot. Sak opprettet.",0,NA,2017-12-19 09:06:23,NA,"943044829860323328",NA
"32","Sørfjorden, Romslo: hvitfarget, åpen båt antagelig uten motor på rek? Din? Eller naboen sin? Ring 02800.",0,NA,2017-12-19 09:04:06,NA,"943044256201134080",NA
"33","Sogndal retn Fjærland RV5; meldt om glatt veg, flere trailere har problem. Vegstellet varsla, patrulje sjekkar kjetting og dekk.",0,NA,2017-12-19 08:41:41,NA,"943038614790987776",NA
"34","Palmafossen Voss: påkøysle bakfrå, ikkje alvorge skadar, noko kø, glatt veg, politi og ambulanse på staden.",0,NA,2017-12-19 07:47:06,NA,"943024880311832576",NA
"35","Tilskadekomne er bevisst, undersøkes av helsepersonell på stedet https://t.co/p62DGBsBig",0,NA,2017-12-19 07:45:16,NA,"943024417420070912",NA
"36","Skogsvåg, Sund: Påkjørsel i fotgjengerfelt, nødetater på vei til stedet",0,NA,2017-12-19 07:29:01,NA,"943020330024685568",NA
"37","Fløyfjellet er opna.",0,NA,2017-12-19 07:16:10,NA,"943017095704514565",NA
"38","E39 Fløyfjellet retn Dnm.plass; ett felt stengt pga kjøretøystans. Politi og berging på vei!",0,NA,2017-12-19 07:00:29,NA,"943013150089269248",NA
"39","Sotra, Arefjordvegen: noko steinar på storleik med melkekartongar rast ut frå skrent, VTS varsla, politi på staden.",0,NA,2017-12-19 06:27:39,NA,"943004885481553921",NA
"40","Uhellet har skjedd i vestgående retning",1,"politivest",2017-12-18 16:33:44,"942794812654223360","942795021874618371","916215618612973568"
"41","Rv 555 - like ved avkjørsel til Askøy. Meldt om trafikkulykke. Påkjørsel bakfra. Nødetater er på vei.",1,NA,2017-12-18 16:32:54,NA,"942794812654223360",NA
"42","Det er mulig å passere. Begge personene sier seg uskadd.",0,"politivest",2017-12-18 15:54:58,"942779983164002305","942785268108623872","916215618612973568"
"43","E39 Byrkjelo, mellom Sandane og Breim - meldt om trafikkulykke - ein bil kjørt i fjellveggen. 2 personer i bilen, b… https://t.co/7USvAeEhoC",1,NA,2017-12-18 15:33:58,NA,"942779983164002305",NA
"44","E16 Risnestunnelen stengd grunna bilstans, står farleg til i sving. Også meldt om folk til fots. Politi på veg.",0,NA,2017-12-18 13:39:26,NA,"942751157549662208",NA
"45","Rossland: Meldt om trafikkuhell, bil utfor veien. Nødetater på vei til stedet",0,NA,2017-12-18 10:18:49,NA,"942700671882743808",NA
"46","Helgheimsvegen, Sogndal: bil køyrd utfor vegen, ikkje skade på person, bilbergar på veg.",0,NA,2017-12-18 10:04:41,NA,"942697117168160768",NA
"47","E16 Arnanipatunnelen: opna",0,NA,2017-12-18 09:21:33,NA,"942686262741426176",NA
"48","Eidsvågsveien; stein i vegbana, VTS på veg for å fjerne den.",0,NA,2017-12-18 08:47:13,NA,"942677620579332097",NA
"49","E16 Arnanipatunnelen: stengd grunna tekn feil, elektrikar på veg.",0,NA,2017-12-18 08:46:30,NA,"942677441025331200",NA
